catcher_id,subscription_amount,credit_given,currency_val,times_of_subscription
899,0.0,0,1.0,2
900,0.0,0,1.0,8
901,0.0,0,1.0,4
903,0.0,0,1.0,6
904,0.0,0,1.0,6
905,0.0,0,1.0,6
907,0.0,0,1.0,6
910,99.0,0,1.0,6
898,0.0,0,1.0,1
908,0.0,0,1.0,2
910,0.0,0,1.0,6
92,0.0,0,1.0,2
106,0.0,0,1.0,1
124,0.0,0,1.0,1
125,0.0,0,1.0,1
126,0.0,0,1.0,1
127,0.0,0,1.0,1
128,0.0,0,1.0,1
129,0.0,0,1.0,1
130,0.0,0,1.0,1
131,0.0,0,1.0,1
132,0.0,0,1.0,1
133,0.0,0,1.0,1
134,0.0,0,1.0,1
135,0.0,0,1.0,1
136,0.0,0,1.0,1
137,0.0,0,1.0,1
138,0.0,0,1.0,1
139,0.0,0,1.0,1
141,0.0,0,1.0,1
143,0.0,0,1.0,1
144,0.0,0,1.0,1
148,0.0,0,1.0,1
151,0.0,0,1.0,2
159,0.0,0,1.0,1
252,0.0,0,1.0,1
256,0.0,0,1.0,1
260,0.0,0,1.0,1
262,0.0,0,1.0,1
263,0.0,0,1.0,1
264,0.0,0,1.0,1
265,0.0,0,1.0,1
266,0.0,0,1.0,1
267,0.0,0,1.0,1
268,0.0,0,1.0,1
269,0.0,0,1.0,1
270,0.0,0,1.0,1
271,0.0,0,1.0,1
272,0.0,0,1.0,1
273,0.0,0,1.0,1
274,0.0,0,1.0,1
275,0.0,0,1.0,1
276,0.0,0,1.0,1
277,0.0,0,1.0,1
278,0.0,0,1.0,1
279,0.0,0,1.0,1
280,0.0,0,1.0,1
281,0.0,0,1.0,1
282,0.0,0,1.0,1
283,0.0,0,1.0,1
284,0.0,0,1.0,1
286,0.0,0,1.0,1
288,0.0,0,1.0,1
294,0.0,0,1.0,1
297,0.0,0,1.0,1
298,0.0,0,1.0,1
299,0.0,0,1.0,1
303,0.0,0,1.0,1
307,0.0,0,1.0,1
308,0.0,0,1.0,1
309,0.0,0,1.0,1
310,0.0,0,1.0,1
313,0.0,0,1.0,1
314,0.0,0,1.0,1
315,0.0,0,1.0,1
318,0.0,0,1.0,1
319,0.0,0,1.0,1
321,0.0,0,1.0,1
322,0.0,0,1.0,1
326,0.0,0,1.0,1
327,0.0,0,1.0,1
328,0.0,0,1.0,1
329,0.0,0,1.0,1
330,0.0,0,1.0,1
331,0.0,0,1.0,1
333,0.0,0,1.0,1
335,0.0,0,1.0,1
336,0.0,0,1.0,1
337,0.0,0,1.0,1
352,0.0,0,1.0,1
353,0.0,0,1.0,1
355,0.0,0,1.0,1
356,0.0,0,1.0,1
359,0.0,0,1.0,1
360,0.0,0,1.0,1
363,0.0,0,1.0,1
372,0.0,0,1.0,1
373,0.0,0,1.0,1
379,0.0,0,1.0,1
384,0.0,0,1.0,1
385,0.0,0,1.0,1
387,0.0,0,1.0,1
389,0.0,0,1.0,1
392,0.0,0,1.0,1
395,0.0,0,1.0,1
396,0.0,0,1.0,1
404,0.0,0,1.0,1
414,0.0,0,1.0,1
427,0.0,0,1.0,1
428,0.0,0,1.0,1
431,0.0,0,1.0,1
433,0.0,0,1.0,1
434,0.0,0,1.0,1
437,0.0,0,1.0,1
440,0.0,0,1.0,1
443,0.0,0,1.0,1
446,0.0,0,1.0,3
447,0.0,0,1.0,1
456,0.0,0,1.0,1
457,0.0,0,1.0,1
466,0.0,0,1.0,1
467,0.0,0,1.0,1
476,0.0,0,1.0,1
481,0.0,0,1.0,1
482,0.0,0,1.0,1
488,0.0,0,1.0,1
500,0.0,0,1.0,1
504,0.0,0,1.0,1
508,0.0,0,1.0,1
514,0.0,0,1.0,1
516,0.0,0,1.0,1
518,0.0,0,1.0,1
521,0.0,0,1.0,1
527,0.0,0,1.0,1
528,0.0,0,1.0,1
530,0.0,0,1.0,1
531,0.0,0,1.0,1
532,0.0,0,1.0,1
533,0.0,0,1.0,1
546,0.0,0,1.0,1
549,0.0,0,1.0,1
551,0.0,0,1.0,1
552,0.0,0,1.0,1
553,0.0,0,1.0,1
554,0.0,0,1.0,1
555,0.0,0,1.0,1
556,0.0,0,1.0,1
560,0.0,0,1.0,1
561,0.0,0,1.0,1
565,0.0,0,1.0,1
566,0.0,0,1.0,1
567,0.0,0,1.0,1
568,0.0,0,1.0,1
569,0.0,0,1.0,1
570,0.0,0,1.0,1
571,0.0,0,1.0,1
572,0.0,0,1.0,1
573,0.0,0,1.0,1
574,0.0,0,1.0,1
579,0.0,0,1.0,1
580,0.0,0,1.0,1
581,0.0,0,1.0,2
582,0.0,0,1.0,1
583,0.0,0,1.0,1
584,0.0,0,1.0,1
585,0.0,0,1.0,1
586,0.0,0,1.0,1
587,0.0,0,1.0,1
588,0.0,0,1.0,1
589,0.0,0,1.0,1
590,0.0,0,1.0,1
591,0.0,0,1.0,1
592,0.0,0,1.0,1
593,0.0,0,1.0,1
594,0.0,0,1.0,1
595,0.0,0,1.0,1
596,0.0,0,1.0,1
597,0.0,0,1.0,1
598,0.0,0,1.0,1
599,0.0,0,1.0,1
601,0.0,0,1.0,1
602,0.0,0,1.0,1
603,0.0,0,1.0,1
605,0.0,0,1.0,1
606,0.0,0,1.0,1
607,0.0,0,1.0,1
608,0.0,0,1.0,1
609,0.0,0,1.0,1
610,0.0,0,1.0,1
611,0.0,0,1.0,1
612,0.0,0,1.0,1
614,0.0,0,1.0,1
615,0.0,0,1.0,1
616,0.0,0,1.0,1
619,0.0,0,1.0,1
621,0.0,0,1.0,1
623,0.0,0,1.0,1
625,0.0,0,1.0,1
626,0.0,0,1.0,1
630,0.0,0,1.0,1
631,0.0,0,1.0,1
633,0.0,0,1.0,1
634,0.0,0,1.0,1
635,0.0,0,1.0,1
636,0.0,0,1.0,1
637,0.0,0,1.0,1
638,0.0,0,1.0,1
639,0.0,0,1.0,1
641,0.0,0,1.0,1
642,0.0,0,1.0,1
643,0.0,0,1.0,1
644,0.0,0,1.0,1
645,0.0,0,1.0,1
649,0.0,0,1.0,1
650,0.0,0,1.0,1
651,0.0,0,1.0,1
652,0.0,0,1.0,1
653,0.0,0,1.0,1
654,0.0,0,1.0,1
655,0.0,0,1.0,1
656,0.0,0,1.0,1
657,0.0,0,1.0,1
658,0.0,0,1.0,1
659,0.0,0,1.0,1
660,0.0,0,1.0,1
664,0.0,0,1.0,1
668,0.0,0,1.0,1
675,0.0,0,1.0,1
687,0.0,0,1.0,1
688,0.0,0,1.0,1
692,0.0,0,1.0,1
707,0.0,0,1.0,1
708,0.0,0,1.0,1
709,0.0,0,1.0,1
710,0.0,0,1.0,1
724,0.0,0,1.0,1
725,0.0,0,1.0,1
726,0.0,0,1.0,1
728,0.0,0,1.0,1
730,0.0,0,1.0,1
731,0.0,0,1.0,1
732,0.0,0,1.0,1
737,0.0,0,1.0,1
741,0.0,0,1.0,1
742,0.0,0,1.0,1
746,0.0,0,1.0,1
749,0.0,0,1.0,1
755,0.0,0,1.0,1
758,0.0,0,1.0,1
759,0.0,0,1.0,1
760,0.0,0,1.0,1
761,0.0,0,1.0,1
763,0.0,0,1.0,1
764,0.0,0,1.0,1
767,0.0,0,1.0,1
768,0.0,0,1.0,1
769,0.0,0,1.0,1
771,0.0,0,1.0,1
772,0.0,0,1.0,1
773,0.0,0,1.0,1
774,0.0,0,1.0,1
775,0.0,0,1.0,1
778,0.0,0,1.0,1
780,0.0,0,1.0,1
781,0.0,0,1.0,1
782,0.0,0,1.0,1
783,0.0,0,1.0,1
784,0.0,0,1.0,1
785,0.0,0,1.0,1
788,0.0,0,1.0,1
789,0.0,0,1.0,1
790,0.0,0,1.0,1
791,0.0,0,1.0,1
792,0.0,0,1.0,1
793,0.0,0,1.0,1
794,0.0,0,1.0,1
795,0.0,0,1.0,1
796,0.0,0,1.0,1
799,0.0,0,1.0,1
800,0.0,0,1.0,1
801,0.0,0,1.0,1
802,0.0,0,1.0,1
803,0.0,0,1.0,1
804,0.0,0,1.0,1
805,0.0,0,1.0,1
806,0.0,0,1.0,1
808,0.0,0,1.0,1
814,0.0,0,1.0,1
815,0.0,0,1.0,1
816,0.0,0,1.0,1
817,0.0,0,1.0,1
818,0.0,0,1.0,1
819,0.0,0,1.0,1
821,0.0,0,1.0,1
822,0.0,0,1.0,1
823,0.0,0,1.0,1
824,0.0,0,1.0,1
825,0.0,0,1.0,1
826,0.0,0,1.0,1
827,0.0,0,1.0,1
828,0.0,0,1.0,1
829,0.0,0,1.0,1
830,0.0,0,1.0,1
832,0.0,0,1.0,1
833,0.0,0,1.0,1
834,0.0,0,1.0,1
837,0.0,0,1.0,1
838,0.0,0,1.0,1
839,0.0,0,1.0,1
840,0.0,0,1.0,1
841,0.0,0,1.0,1
842,0.0,0,1.0,1
843,0.0,0,1.0,1
844,0.0,0,1.0,1
845,0.0,0,1.0,1
847,0.0,0,1.0,1
851,0.0,0,1.0,1
852,0.0,0,1.0,1
853,0.0,0,1.0,1
855,0.0,0,1.0,1
859,0.0,0,1.0,1
8713,0.0,0,1.0,5
876,0.0,0,1.0,1
877,0.0,0,1.0,1
878,0.0,0,1.0,1
886,0.0,0,1.0,1
888,0.0,0,1.0,1
889,0.0,0,1.0,1
895,0.0,0,1.0,1
913,99.0,0,1.0,1
914,99.0,0,1.0,1
915,99.0,0,1.0,1
918,99.0,0,1.0,1
919,99.0,0,1.0,1
920,99.0,0,1.0,1
921,99.0,0,1.0,1
922,99.0,0,1.0,11
923,99.0,0,1.0,4
929,0.0,0,1.0,1
930,0.0,0,1.0,1
932,0.0,0,1.0,1
933,0.0,0,1.0,1
935,0.0,0,1.0,2
936,0.0,0,1.0,1
935,99.0,0,1.0,2
937,0.0,0,1.0,1
938,0.0,0,1.0,1
939,0.0,0,1.0,1
940,0.0,0,1.0,3
941,99.0,0,1.0,1
942,99.0,0,1.0,4
8713,99.0,0,1.0,5
943,99.0,0,1.0,1
945,99.0,0,1.0,1
953,99.0,0,1.0,1
954,99.0,0,1.0,1
955,99.0,0,1.0,1
956,99.0,0,1.0,1
940,99.0,0,1.0,3
958,99.0,0,1.0,1
959,99.0,0,1.0,1
963,0.0,0,1.0,1
977,0.0,0,1.0,1
980,0.0,0,1.0,1
982,99.0,0,1.0,1
908,99.0,0,1.0,2
984,99.0,0,1.0,1
986,99.0,0,1.0,1
987,99.0,0,1.0,1
989,99.0,0,1.0,1
1000,99.0,0,1.0,1
1002,99.0,0,1.0,1
1004,99.0,0,1.0,1
1001,99.0,0,1.0,1
1003,99.0,0,1.0,1
1005,99.0,0,1.0,1
1006,99.0,0,1.0,1
1007,99.0,0,1.0,1
1009,99.0,0,1.0,1
1010,99.0,0,1.0,1
1011,99.0,0,1.0,1
1012,99.0,0,1.0,1
1013,99.0,0,1.0,4
1014,0.0,0,1.0,1
1015,99.0,0,1.0,1
1017,99.0,0,1.0,1
1018,99.0,0,1.0,4
1020,99.0,0,1.0,10
1019,99.0,0,1.0,6
1021,99.0,0,1.0,1
1022,99.0,0,1.0,1
1023,99.0,0,1.0,1
1024,99.0,0,1.0,2
1025,99.0,0,1.0,24
1026,99.0,0,1.0,1
1027,99.0,0,1.0,2
1028,99.0,0,1.0,1
1029,99.0,0,1.0,1
1030,99.0,0,1.0,1
1033,99.0,0,1.0,3
1034,99.0,0,1.0,1
1035,99.0,0,1.0,1
1036,99.0,0,1.0,1
1037,99.0,0,1.0,1
1038,99.0,0,1.0,1
1039,99.0,0,1.0,1
871,99.0,0,1.0,8
1040,99.0,0,1.0,1
1041,99.0,0,1.0,1
1042,99.0,0,1.0,3
1044,0.0,0,1.0,5
1044,111.0,0,1.0,5
1045,0.0,0,1.0,3
1045,99.0,0,1.0,3
1047,99.0,0,1.0,1
1048,0.0,0,1.0,4
1048,99.0,0,1.0,4
1048,111.0,0,1.0,4
1048,333.0,0,1.0,4
1049,99.0,0,1.0,5
1051,0.0,0,1.0,1
1049,0.0,0,1.0,5
1057,0.0,0,1.0,2
1057,50.0,0,1.0,2
1058,99.0,0,1.0,1
1044,99.0,0,1.0,5
1059,0.0,0,1.0,1
1060,99.0,0,1.0,1
1061,0.0,0,1.0,1
1062,0.0,0,1.0,2
1063,0.0,0,1.0,1
1064,99.0,0,1.0,1
1065,99.0,0,1.0,1
1066,99.0,0,1.0,1
1067,99.0,0,1.0,1
1068,99.0,0,1.0,1
1069,99.0,0,1.0,1
1070,99.0,0,1.0,1
1071,99.0,0,1.0,1
1072,99.0,0,1.0,1
1073,99.0,0,1.0,1
1074,99.0,0,1.0,1
1081,99.0,0,1.0,1
1082,99.0,0,1.0,1
1083,99.0,0,1.0,1
1084,99.0,0,1.0,1
1085,99.0,0,1.0,1
1086,99.0,0,1.0,1
1087,99.0,0,1.0,1
1088,99.0,0,1.0,1
1089,99.0,0,1.0,1
1090,99.0,0,1.0,1
1091,99.0,0,1.0,1
1092,99.0,0,1.0,1
1093,99.0,0,1.0,1
1094,99.0,0,1.0,1
1095,99.0,0,1.0,1
1096,99.0,0,1.0,1
1097,99.0,0,1.0,1
1098,99.0,0,1.0,1
1099,99.0,0,1.0,1
1100,99.0,0,1.0,1
1101,99.0,0,1.0,1
1102,99.0,0,1.0,1
1103,99.0,0,1.0,1
1104,99.0,0,1.0,1
1105,99.0,0,1.0,1
1107,99.0,0,1.0,1
1109,99.0,0,1.0,1
1110,99.0,0,1.0,1
1111,99.0,0,1.0,1
1112,99.0,0,1.0,1
1113,99.0,0,1.0,1
1114,99.0,0,1.0,1
1115,99.0,0,1.0,1
1116,99.0,0,1.0,1
1117,99.0,0,1.0,1
1118,99.0,0,1.0,1
1119,99.0,0,1.0,1
1120,99.0,0,1.0,1
1121,99.0,0,1.0,1
1122,99.0,0,1.0,1
1123,99.0,0,1.0,1
1124,99.0,0,1.0,1
1125,99.0,0,1.0,1
1126,99.0,0,1.0,1
1127,99.0,0,1.0,1
1128,99.0,0,1.0,1
1130,99.0,0,1.0,1
1131,99.0,0,1.0,1
1132,99.0,0,1.0,1
1133,99.0,0,1.0,1
1134,99.0,0,1.0,1
1135,99.0,0,1.0,1
1137,99.0,0,1.0,1
1138,99.0,0,1.0,1
1139,99.0,0,1.0,1
1140,99.0,0,1.0,1
1141,99.0,0,1.0,1
1142,99.0,0,1.0,1
1143,99.0,0,1.0,1
1144,99.0,0,1.0,1
1145,99.0,0,1.0,1
1146,99.0,0,1.0,4
1147,99.0,0,1.0,2
1148,99.0,0,1.0,1
1149,99.0,0,1.0,4
1150,99.0,0,1.0,5
1151,99.0,0,1.0,1
1152,99.0,0,1.0,1
1153,99.0,0,1.0,1
1154,99.0,0,1.0,1
1155,99.0,0,1.0,1
1156,99.0,0,1.0,2
1157,99.0,0,1.0,1
1158,99.0,0,1.0,1
1159,99.0,0,1.0,1
1160,99.0,0,1.0,1
1161,99.0,0,1.0,1
1162,99.0,0,1.0,1
1163,99.0,0,1.0,1
1164,99.0,0,1.0,1
1165,99.0,0,1.0,1
1166,99.0,0,1.0,1
1167,99.0,0,1.0,1
1168,99.0,0,1.0,1
1169,99.0,0,1.0,1
1170,0.0,0,1.0,1
1171,0.0,0,1.0,1
1172,0.0,0,1.0,1
1174,0.0,0,1.0,1
1177,0.0,0,1.0,1
1178,0.0,0,1.0,1
1179,99.0,0,1.0,1
1181,99.0,0,1.0,1
1182,99.0,0,1.0,1
1183,99.0,0,1.0,1
1184,99.0,0,1.0,1
1185,0.0,0,1.0,1
1186,99.0,0,1.0,1
1187,0.0,0,1.0,1
1188,0.0,0,1.0,1
1189,99.0,0,1.0,1
1190,0.0,0,1.0,1
1191,0.0,0,1.0,1
1192,0.0,0,1.0,1
1193,99.0,0,1.0,1
1195,99.0,0,1.0,1
1196,99.0,0,1.0,1
1197,99.0,0,1.0,1
1198,99.0,0,1.0,1
1199,99.0,0,1.0,1
1200,99.0,0,1.0,1
1201,99.0,0,1.0,1
1202,99.0,0,1.0,1
1203,99.0,0,1.0,1
1204,99.0,0,1.0,2
1205,99.0,0,1.0,1
1206,99.0,0,1.0,1
1207,99.0,0,1.0,1
1208,99.0,0,1.0,1
1209,99.0,0,1.0,15
1210,99.0,0,1.0,1
1211,99.0,0,1.0,1
1214,99.0,0,1.0,1
1215,99.0,0,1.0,1
1221,99.0,0,1.0,1
1222,99.0,0,1.0,1
1129,99.0,0,1.0,2
1233,99.0,0,1.0,1
1235,99.0,0,1.0,2
1236,99.0,0,1.0,1
1237,99.0,0,1.0,1
1238,99.0,0,1.0,1
1239,99.0,0,1.0,1
1240,99.0,0,1.0,1
1242,99.0,0,1.0,1
1243,99.0,0,1.0,1
1244,99.0,0,1.0,1
1246,99.0,0,1.0,1
1247,99.0,0,1.0,1
1248,99.0,0,1.0,1
1249,99.0,0,1.0,1
1250,99.0,0,1.0,1
1251,99.0,0,1.0,1
1252,99.0,0,1.0,1
1253,99.0,0,1.0,2
1254,99.0,0,1.0,1
1255,99.0,0,1.0,1
1257,99.0,0,1.0,1
1258,99.0,0,1.0,1
1259,99.0,0,1.0,1
1261,99.0,0,1.0,1
1062,99.0,0,1.0,2
1268,99.0,0,1.0,1
1269,99.0,0,1.0,1
1271,99.0,0,1.0,1
1273,99.0,0,1.0,1
1275,99.0,0,1.0,1
1276,99.0,0,1.0,11
1278,99.0,0,1.0,1
1280,99.0,0,1.0,1
1281,99.0,0,1.0,1
