catcher_id,subscription_sum,subscription_count,currency
92,199.0,2,0
106,0.0,1,0
124,0.0,1,0
125,0.0,1,0
126,0.0,1,0
127,0.0,1,0
128,0.0,1,0
129,0.0,1,0
130,0.0,1,0
131,0.0,1,0
132,0.0,1,0
133,0.0,1,0
134,0.0,1,0
135,0.0,1,0
136,0.0,1,0
137,0.0,1,0
138,0.0,1,0
139,0.0,1,0
141,0.0,1,0
143,0.0,1,0
144,0.0,1,0
148,0.0,1,0
151,199.0,2,0
159,0.0,1,0
252,0.0,1,0
256,0.0,1,0
260,0.0,1,0
262,0.0,1,0
263,0.0,1,0
264,0.0,1,0
265,0.0,1,0
266,0.0,1,0
267,0.0,1,0
268,0.0,1,0
269,0.0,1,0
270,0.0,1,0
271,0.0,1,0
272,0.0,1,0
273,0.0,1,0
274,0.0,1,0
275,0.0,1,0
276,0.0,1,0
277,0.0,1,0
278,0.0,1,0
279,0.0,1,0
280,0.0,1,0
281,0.0,1,0
282,0.0,1,0
283,0.0,1,0
284,0.0,1,0
286,0.0,1,0
288,0.0,1,0
294,0.0,1,0
297,0.0,1,0
298,0.0,1,0
299,0.0,1,0
303,0.0,1,0
307,0.0,1,0
308,0.0,1,0
309,0.0,1,0
310,0.0,1,0
313,0.0,1,0
314,0.0,1,0
315,0.0,1,0
318,0.0,1,0
319,0.0,1,0
321,0.0,1,0
322,0.0,1,0
326,0.0,1,0
327,0.0,1,0
328,0.0,1,0
329,0.0,1,0
330,0.0,1,0
331,0.0,1,0
333,0.0,1,0
335,0.0,1,0
336,0.0,1,0
337,0.0,1,0
352,0.0,1,0
353,0.0,1,0
355,0.0,1,0
356,0.0,1,0
359,0.0,1,0
360,0.0,1,0
363,0.0,1,0
372,0.0,1,0
373,0.0,1,0
379,0.0,1,0
384,0.0,1,0
385,0.0,1,0
387,0.0,1,0
389,0.0,1,0
392,0.0,1,0
395,0.0,1,0
396,0.0,1,0
404,0.0,1,0
414,0.0,1,0
427,0.0,1,0
428,0.0,1,0
431,0.0,1,0
433,0.0,1,0
434,0.0,1,0
437,0.0,1,0
440,0.0,1,0
443,0.0,1,0
446,199.0,3,0
447,0.0,1,0
456,0.0,1,0
457,0.0,1,0
466,0.0,1,0
467,0.0,1,0
476,0.0,1,0
481,0.0,1,0
482,0.0,1,0
488,0.0,1,0
500,0.0,1,0
504,0.0,1,0
508,0.0,1,0
514,0.0,1,0
516,0.0,1,0
518,0.0,1,0
521,0.0,1,0
527,0.0,1,0
528,0.0,1,0
530,0.0,1,0
531,0.0,1,0
532,0.0,1,0
533,0.0,1,0
546,0.0,1,0
549,0.0,1,0
551,0.0,1,0
552,0.0,1,0
553,0.0,1,0
554,0.0,1,0
555,0.0,1,0
556,0.0,1,0
560,0.0,1,0
561,0.0,1,0
565,0.0,1,0
566,0.0,1,0
567,0.0,1,0
568,0.0,1,0
569,0.0,1,0
570,0.0,1,0
571,0.0,1,0
572,0.0,1,0
573,0.0,1,0
574,0.0,1,0
579,0.0,1,0
580,0.0,1,0
581,199.0,2,0
582,0.0,1,0
583,0.0,1,0
584,0.0,1,0
585,0.0,1,0
586,0.0,1,0
587,0.0,1,0
588,0.0,1,0
589,0.0,1,0
590,0.0,1,0
591,0.0,1,0
592,0.0,1,0
593,0.0,1,0
594,0.0,1,0
595,0.0,1,0
596,0.0,1,0
597,0.0,1,0
598,0.0,1,0
599,0.0,1,0
601,0.0,1,0
602,0.0,1,0
603,0.0,1,0
605,0.0,1,0
606,0.0,1,0
607,0.0,1,0
608,0.0,1,0
609,0.0,1,0
610,0.0,1,0
611,0.0,1,0
612,0.0,1,0
614,0.0,1,0
615,0.0,1,0
616,0.0,1,0
619,0.0,1,0
621,0.0,1,0
623,0.0,1,0
625,0.0,1,0
626,0.0,1,0
630,0.0,1,0
631,0.0,1,0
633,0.0,1,0
634,0.0,1,0
635,0.0,1,0
636,0.0,1,0
637,0.0,1,0
638,0.0,1,0
639,0.0,1,0
641,0.0,1,0
642,0.0,1,0
643,0.0,1,0
644,0.0,1,0
645,0.0,1,0
649,0.0,1,0
650,0.0,1,0
651,0.0,1,0
652,0.0,1,0
653,0.0,1,0
654,0.0,1,0
655,0.0,1,0
656,0.0,1,0
657,0.0,1,0
658,0.0,1,0
659,0.0,1,0
660,0.0,1,0
664,0.0,1,0
668,0.0,1,0
675,0.0,1,0
687,0.0,1,0
688,0.0,1,0
692,0.0,1,0
707,0.0,1,0
708,0.0,1,0
709,0.0,1,0
710,0.0,1,0
724,0.0,1,0
725,0.0,1,0
726,0.0,1,0
728,0.0,1,0
730,0.0,1,0
731,0.0,1,0
732,0.0,1,0
737,0.0,1,0
741,0.0,1,0
742,0.0,1,0
746,0.0,1,0
749,0.0,1,0
755,0.0,1,0
758,0.0,1,0
759,0.0,1,0
760,0.0,1,0
761,0.0,1,0
763,0.0,1,0
764,0.0,1,0
767,0.0,1,0
768,0.0,1,0
769,0.0,1,0
771,0.0,1,0
772,0.0,1,0
773,0.0,1,0
774,0.0,1,0
775,0.0,1,0
778,0.0,1,0
780,0.0,1,0
781,0.0,1,0
782,0.0,1,0
783,0.0,1,0
784,0.0,1,0
785,0.0,1,0
788,0.0,1,0
789,0.0,1,0
790,0.0,1,0
791,0.0,1,0
792,0.0,1,0
793,0.0,1,0
794,0.0,1,0
795,0.0,1,0
796,0.0,1,0
799,0.0,1,0
800,0.0,1,0
801,0.0,1,0
802,0.0,1,0
803,0.0,1,0
804,0.0,1,0
805,0.0,1,0
806,0.0,1,0
808,0.0,1,0
814,0.0,1,0
815,0.0,1,0
816,0.0,1,0
817,0.0,1,0
818,0.0,1,0
819,0.0,1,0
821,0.0,1,0
822,0.0,1,0
823,0.0,1,0
824,0.0,1,0
825,0.0,1,0
826,0.0,1,0
827,0.0,1,0
828,0.0,1,0
829,0.0,1,0
830,0.0,1,0
832,0.0,1,0
833,0.0,1,0
834,0.0,1,0
837,0.0,1,0
838,0.0,1,0
839,0.0,1,0
840,0.0,1,0
841,0.0,1,0
842,0.0,1,0
843,0.0,1,0
844,0.0,1,0
845,0.0,1,0
847,0.0,1,0
851,0.0,1,0
852,0.0,1,0
853,0.0,1,0
855,0.0,1,0
859,0.0,1,0
871,792.0,8,0
876,0.0,1,0
877,0.0,1,0
878,0.0,1,0
886,0.0,1,0
888,0.0,1,0
889,0.0,1,0
895,0.0,1,0
898,0.0,1,0
899,0.0,2,0
900,0.0,8,0
901,0.0,4,0
903,198.0,6,0
904,198.0,6,0
905,198.0,6,0
907,198.0,6,0
908,99.0,2,0
910,396.0,6,0
913,99.0,1,0
914,99.0,1,0
915,99.0,1,0
918,99.0,1,0
919,99.0,1,0
920,99.0,1,0
921,99.0,1,0
922,1089.0,11,0
923,396.0,4,0
929,0.0,1,0
930,0.0,1,0
932,0.0,1,0
933,0.0,1,0
935,99.0,2,0
936,0.0,1,0
937,0.0,1,0
938,0.0,1,0
939,0.0,1,0
940,198.0,3,0
941,99.0,1,0
942,396.0,4,0
943,99.0,1,0
945,99.0,1,0
953,99.0,1,0
954,99.0,1,0
955,99.0,1,0
956,99.0,1,0
958,99.0,1,0
959,99.0,1,0
963,0.0,1,0
977,0.0,1,0
980,0.0,1,0
982,99.0,1,0
984,99.0,1,0
986,99.0,1,0
987,99.0,1,0
989,99.0,1,0
1000,99.0,1,0
1001,99.0,1,0
1002,99.0,1,0
1003,99.0,1,0
1004,99.0,1,0
1005,99.0,1,0
1006,99.0,1,0
1007,99.0,1,0
1009,99.0,1,0
1010,99.0,1,0
1011,99.0,1,0
1012,99.0,1,0
