catcher_id,jobma_catcher_company,jobma_functional,jobma_catcher_indus,jobma_catcher_title,jobma_catcher_otype,jobma_catcher_status,jobma_catcher_type,is_premium,jobma_verified,subscription_status,sub_user,per_sub_user,live_interview_credit,pre_recorded_credit,ai_live_interview_credit,interview_cost_type,referral_credit,company_size,ai_live_interview,days_since_creation,confirmed,number_of_logins,credit_amount,wallet_amount,plan_type,is_unlimited,trial_account_type,billing_cycle_status,subscription_amount,credit_given,currency_val,times_of_subscription,kits_count,position_created,number_of_invitations,pitchers_counts,def_interview_counts,interview_counts,ai_interview_counts
137,Swimwear Anywhere,Marketing & Media,Clothing & Textile Manufacturing,0,1,1,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,4116.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
138,Hennepin County WorkForce Center,Government,Government & Military,0,1,1,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,4116.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,4.0,0.0,4.0,0.0,0.0,0.0
143,H&H Partners Inc,IT & Software Development,"Computer (Hardware, Software, & IT)",0,1,1,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,4109.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,Case Concepts,Business,Manufacturing,0,1,1,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,4094.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,2.0,0.0,4.0,0.0,0.0,0.0
151,sunwest,IT & Software Development,IT-Software/Software Services,0,1,-1,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,4093.0,0,1,0.0,11107.0,0.0,0.0,0.0,0,0.0,0,1.0,2,1.0,1.0,0.0,4.0,4.0,0.0,0.0
151,sunwest,IT & Software Development,IT-Software/Software Services,0,1,-1,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,4093.0,0,1,0.0,11107.0,0.0,0.0,0.0,0,199.0,0,1.0,2,1.0,1.0,0.0,4.0,4.0,0.0,0.0
159,Skywings Advisors Pvt Ltd,Human Resources,"IT Recruiting, Staffing, & Temporary Labor",0,1,0,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,4088.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,Nationwide,Insurance,Insurance,0,1,1,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3989.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,3.0,0.0,4.0,0.0,0.0,0.0
256,Grasslands Group of Companies Inc.,Other,Other,0,1,0,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3989.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,Au Consultants Inc,Engineering,Engineering,0,1,0,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3979.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
