catcher_id,wallet_sum,subscription_type,plan_type,is_unlimited
92,37.0,0,0,0
106,0.0,0,0,0
124,0.0,0,0,0
125,0.0,0,0,0
126,0.0,0,0,0
127,0.0,0,0,0
128,0.0,0,0,0
129,0.0,0,0,0
130,0.0,0,0,0
131,0.0,0,0,0
132,0.0,0,0,0
133,0.0,0,0,0
134,0.0,0,0,0
135,0.0,0,0,0
136,0.0,0,0,0
137,0.0,0,0,0
138,0.0,0,0,0
139,0.0,0,0,0
141,0.0,0,0,0
143,0.0,0,0,0
144,0.0,0,0,0
148,0.0,0,0,0
151,11107.0,0,0,0
159,0.0,0,0,0
252,0.0,0,0,0
256,0.0,0,0,0
260,0.0,0,0,0
262,0.0,0,0,0
263,0.0,0,0,0
264,0.0,0,0,0
265,0.0,0,0,0
266,0.0,0,0,0
267,0.0,0,0,0
268,0.0,0,0,0
269,0.0,0,0,0
270,0.0,0,0,0
271,0.0,0,0,0
272,0.0,0,0,0
273,0.0,0,0,0
274,0.0,0,0,0
275,0.0,0,0,0
276,0.0,0,0,0
277,0.0,0,0,0
278,0.0,0,0,0
279,0.0,0,0,0
280,0.0,0,0,0
281,0.0,0,0,0
282,0.0,0,0,0
283,0.0,0,0,0
284,0.0,0,0,0
286,0.0,0,0,0
288,0.0,0,0,0
294,0.0,0,0,0
297,0.0,0,0,0
298,0.0,0,0,0
299,0.0,0,0,0
303,0.0,0,0,0
307,0.0,0,0,0
308,0.0,0,0,0
309,0.0,0,0,0
310,0.0,0,0,0
313,0.0,0,0,0
314,0.0,0,0,0
315,0.0,0,0,0
318,0.0,0,0,0
319,0.0,0,0,0
321,0.0,0,0,0
322,0.0,0,0,0
326,0.0,0,0,0
327,0.0,0,0,0
328,0.0,0,0,0
329,0.0,0,0,0
330,0.0,0,0,0
331,0.0,0,0,0
333,0.0,0,0,0
335,0.0,0,0,0
336,0.0,0,0,0
337,0.0,0,0,0
352,0.0,0,0,0
353,0.0,0,0,0
355,0.0,0,0,0
356,0.0,0,0,0
359,0.0,0,0,0
360,0.0,0,0,0
363,0.0,0,0,0
372,0.0,0,0,0
373,0.0,0,0,0
379,0.0,0,0,0
384,0.0,0,0,0
385,0.0,0,0,0
387,0.0,0,0,0
389,0.0,0,0,0
392,0.0,0,0,0
395,0.0,0,0,0
396,0.0,0,0,0
404,0.0,0,0,0
414,0.0,0,0,0
427,0.0,0,0,0
428,0.0,0,0,0
431,0.0,0,0,0
433,0.0,0,0,0
434,0.0,0,0,0
437,0.0,0,0,0
440,0.0,0,0,0
443,0.0,0,0,0
446,0.0,1,0,0
447,0.0,0,0,0
456,0.0,0,0,0
457,0.0,0,0,0
466,0.0,0,0,0
467,0.0,0,0,0
476,0.0,0,0,0
481,0.0,0,0,0
482,0.0,0,0,0
488,0.0,0,0,0
500,0.0,0,0,0
504,0.0,0,0,0
508,0.0,0,0,0
514,0.0,0,0,0
516,0.0,0,0,0
518,0.0,0,0,0
521,0.0,0,0,0
527,0.0,0,0,0
528,0.0,0,0,0
530,0.0,0,0,0
531,0.0,0,0,0
532,0.0,0,0,0
533,0.0,0,0,0
546,0.0,0,0,0
549,0.0,0,0,0
551,0.0,0,0,0
552,0.0,0,0,0
553,0.0,0,0,0
554,0.0,0,0,0
555,0.0,0,0,0
556,0.0,0,0,0
560,0.0,0,0,0
561,0.0,0,0,0
565,0.0,0,0,0
566,0.0,0,0,0
567,0.0,0,0,0
568,0.0,0,0,0
569,0.0,0,0,0
570,0.0,0,0,0
571,0.0,0,0,0
572,0.0,0,0,0
573,0.0,0,0,0
574,0.0,0,0,0
579,0.0,0,0,0
580,0.0,0,0,0
581,280.0,0,0,0
582,0.0,0,0,0
583,0.0,0,0,0
584,0.0,0,0,0
585,0.0,0,0,0
586,0.0,0,0,0
587,0.0,0,0,0
588,0.0,0,0,0
589,0.0,0,0,0
590,0.0,0,0,0
591,0.0,0,0,0
592,0.0,0,0,0
593,0.0,0,0,0
594,0.0,0,0,0
595,0.0,0,0,0
596,0.0,0,0,0
597,0.0,0,0,0
598,0.0,0,0,0
599,0.0,0,0,0
601,0.0,0,0,0
602,0.0,0,0,0
603,0.0,0,0,0
605,0.0,0,0,0
606,0.0,0,0,0
607,0.0,0,0,0
608,0.0,0,0,0
609,0.0,0,0,0
610,0.0,0,0,0
611,0.0,0,0,0
612,0.0,0,0,0
614,0.0,0,0,0
615,0.0,0,0,0
616,0.0,0,0,0
619,0.0,0,0,0
621,0.0,0,0,0
623,0.0,0,0,0
625,0.0,0,0,0
626,0.0,0,0,0
630,0.0,0,0,0
631,0.0,0,0,0
633,0.0,0,0,0
634,0.0,0,0,0
635,0.0,0,0,0
636,0.0,0,0,0
637,0.0,0,0,0
638,0.0,0,0,0
639,0.0,0,0,0
641,0.0,0,0,0
642,0.0,0,0,0
643,0.0,0,0,0
644,0.0,0,0,0
645,0.0,0,0,0
649,0.0,0,0,0
650,0.0,0,0,0
651,0.0,0,0,0
652,0.0,0,0,0
653,0.0,0,0,0
654,0.0,0,0,0
655,0.0,0,0,0
656,0.0,0,0,0
657,0.0,0,0,0
658,0.0,0,0,0
659,0.0,0,0,0
660,0.0,0,0,0
664,0.0,0,0,0
668,0.0,0,0,0
669,0.0,0,0,0
675,0.0,0,0,0
687,0.0,0,0,0
688,0.0,0,0,0
692,0.0,0,0,0
707,0.0,0,0,0
708,0.0,0,0,0
709,1099.0,0,0,0
710,0.0,0,0,0
724,0.0,0,0,0
725,0.0,0,0,0
726,0.0,0,0,0
728,0.0,0,0,0
730,0.0,0,0,0
731,0.0,0,0,0
732,0.0,0,0,0
737,0.0,0,0,0
741,0.0,0,0,0
742,0.0,0,0,0
746,2221.0,0,0,0
749,0.0,0,0,0
755,0.0,0,0,0
758,0.0,0,0,0
759,0.0,0,0,0
760,0.0,0,0,0
761,0.0,0,0,0
763,100.0,0,0,0
764,0.0,0,0,0
767,0.0,0,0,0
768,0.0,0,0,0
769,0.0,0,0,0
771,0.0,0,0,0
772,0.0,0,0,0
773,0.0,0,0,0
774,0.0,0,0,0
775,0.0,0,0,0
778,0.0,0,0,0
780,0.0,0,0,0
781,0.0,0,0,0
782,0.0,0,0,0
783,0.0,0,0,0
784,0.0,0,0,0
785,0.0,0,0,0
788,0.0,0,0,0
789,0.0,0,0,0
790,0.0,0,0,0
791,0.0,0,0,0
792,0.0,0,0,0
793,0.0,0,0,0
794,0.0,0,0,0
795,0.0,0,0,0
796,0.0,0,0,0
799,0.0,0,0,0
800,0.0,0,0,0
801,0.0,0,0,0
802,0.0,0,0,0
803,0.0,0,0,0
804,12.0,1,0,0
805,0.0,0,0,0
806,0.0,0,0,0
808,0.0,0,0,0
814,0.0,0,0,0
815,0.0,0,0,0
816,0.0,0,0,0
817,0.0,0,0,0
818,0.0,0,0,0
819,0.0,0,0,0
821,0.0,0,0,0
822,0.0,0,0,0
823,0.0,0,0,0
824,0.0,0,0,0
825,0.0,0,0,0
826,0.0,0,0,0
827,0.0,0,0,0
828,0.0,0,0,0
829,0.0,0,0,0
830,0.0,0,0,0
832,0.0,0,0,0
833,0.0,0,0,0
834,0.0,0,0,0
837,0.0,0,0,0
838,0.0,0,0,0
839,0.0,0,0,0
840,0.0,0,0,0
841,0.0,0,0,0
842,0.0,0,0,0
843,0.0,0,0,0
844,0.0,0,0,0
845,0.0,0,0,0
847,0.0,0,0,0
851,0.0,0,0,0
852,0.0,0,0,0
853,0.0,0,0,0
855,0.0,0,0,0
859,0.0,0,0,0
865,0.0,0,0,0
871,882.0,0,0,0
876,0.0,0,0,0
877,0.0,0,0,0
878,0.0,0,0,0
886,0.0,0,0,0
888,0.0,0,0,0
889,0.0,0,0,0
895,0.0,0,0,0
898,0.0,0,0,0
899,0.0,0,0,0
900,0.0,0,0,0
901,0.0,1,0,0
903,80.0,1,0,0
904,80.0,0,0,0
905,80.0,1,0,0
907,16.0,1,0,0
908,1340.0,0,0,0
910,89.0,1,0,0
912,0.0,0,0,0
913,10.0,1,0,0
914,10.0,0,0,0
915,10.0,0,0,0
918,10.0,0,0,0
919,10.0,0,0,0
920,59.0,1,0,0
921,260.0,0,0,0
922,0.0,0,0,0
923,100112.0,0,0,0
929,5.0,0,0,0
930,4.0,0,0,0
932,5.0,0,0,0
933,0.0,0,0,0
935,100.0,0,0,0
936,4.0,0,0,0
937,0.0,0,0,0
938,5.0,0,0,0
939,5.0,0,0,0
940,25.0,0,0,0
941,10.0,0,0,0
942,84.0,0,0,0
943,23.0,1,0,0
945,10.0,0,0,0
953,10.0,0,0,0
954,10.0,0,0,0
955,10.0,0,0,0
956,10.0,0,0,0
958,10.0,0,0,0
959,10.0,0,0,0
963,5.0,0,0,0
977,5.0,0,0,0
980,5.0,0,0,0
982,10.0,0,0,0
984,30.0,0,0,0
986,10.0,0,0,0
987,8.0,0,0,0
989,160.0,0,0,0
1000,130.0,0,0,0
1001,10.0,0,0,0
1002,10.0,0,0,0
1003,10.0,0,0,0
1004,10.0,0,0,0
1005,10.0,0,0,0
1006,10.0,0,0,0
1007,10.0,0,0,0
1009,111.0,0,0,0
1010,10.0,0,0,0
1011,10.0,0,0,0
1012,10.0,0,0,0
1013,100.0,0,0,0
1014,5.0,0,0,0
1015,10.0,0,0,0
1017,10.0,0,0,0
1018,122.0,0,0,0
1019,240.0,0,0,0
1020,70.0,0,0,0
1021,10.0,0,0,0
1022,10.0,0,0,0
1023,8.0,0,0,0
1024,20.0,0,0,0
1025,330.0,0,0,0
1026,7.0,0,0,0
1027,30.0,0,0,0
1028,10.0,0,0,0
1029,10.0,0,0,0
1030,50.0,0,0,0
1033,30.0,1,0,0
1034,10.0,0,0,0
1035,10.0,0,0,0
1036,10.0,0,0,0
1037,10.0,0,0,0
1038,10.0,0,0,0
1039,10.0,0,0,0
1040,7.0,0,0,0
1041,10.0,0,0,0
1042,30.0,0,0,0
1044,173.0,0,0,0
1045,340.0,0,0,0
1047,10.0,0,0,0
1048,221.0,0,0,0
1049,308.0,0,0,0
1051,10.0,0,0,0
1057,53.0,0,0,0
1058,10.0,0,0,0
1059,5.0,1,0,0
1060,10.0,0,0,0
1061,5.0,0,0,0
1062,5.0,0,0,0
1063,5.0,0,0,0
1064,10.0,0,0,0
1065,10.0,0,0,0
1066,0.0,0,0,0
1067,0.0,0,0,0
1068,20.0,0,0,0
1069,111.0,0,0,0
1070,50.0,0,0,0
1071,20.0,0,0,0
1072,100.0,0,0,0
1073,0.0,0,0,0
1074,25.0,0,0,0
1081,25.0,0,0,0
1082,0.0,0,0,0
1083,0.0,0,0,0
1084,25.0,0,0,0
1085,50.0,0,0,0
1086,0.0,0,0,0
1087,0.0,0,0,0
1088,100.0,0,0,0
1089,100.0,0,0,0
1090,222.0,0,0,0
1091,0.0,0,0,0
1092,100.0,0,0,0
1093,10.0,0,0,0
1094,0.0,0,0,0
1095,0.0,0,0,0
1096,0.0,0,0,0
1097,100.0,0,0,0
1098,0.0,0,0,0
1099,100.0,0,0,0
1100,100.0,0,0,0
1101,100.0,0,0,0
1102,100.0,0,0,0
1103,100.0,0,0,0
1104,100.0,0,0,0
1105,0.0,0,0,0
1107,0.0,0,0,0
1109,210.0,0,0,0
1110,210.0,0,0,0
1111,1100.0,0,0,0
1112,1100.0,0,0,0
1113,0.0,0,0,0
1114,0.0,0,0,0
1115,100.0,0,0,0
1116,100.0,0,0,0
1117,100.0,0,0,0
1118,1100.0,0,0,0
1119,1100.0,0,0,0
1120,1100.0,0,0,0
1121,1100.0,0,0,0
1122,100.0,0,0,0
1123,100.0,0,0,0
1124,0.0,0,0,0
1125,0.0,0,0,0
1126,0.0,0,0,0
1127,0.0,0,0,0
1128,0.0,0,0,0
1130,100.0,0,0,0
1131,0.0,0,0,0
1132,1100.0,0,0,0
1133,100.0,0,0,0
1134,0.0,0,0,0
1135,0.0,0,0,0
1137,0.0,0,0,0
1138,210.0,0,0,0
1139,210.0,0,0,0
1140,100.0,0,0,0
1141,0.0,0,0,0
1142,100.0,0,0,0
1143,210.0,0,0,0
1144,0.0,0,0,0
1145,0.0,0,0,0
1146,1120.0,0,0,0
1147,210.0,0,0,0
1148,210.0,0,0,0
1149,210.0,1,0,0
1150,1500.0,1,0,0
1151,500.0,0,0,0
1152,0.0,0,0,0
1153,210.0,0,0,0
1154,0.0,0,0,0
1155,100.0,0,0,0
1156,210.0,0,0,0
1157,100.0,0,0,0
1158,210.0,0,0,0
1159,100.0,0,0,0
1160,1100.0,0,0,0
1161,0.0,0,0,0
1162,0.0,0,0,0
1163,1100.0,0,0,0
1164,543.0,0,0,0
1165,0.0,0,0,0
1166,0.0,0,0,0
1167,1300.0,0,0,0
1168,1100.0,0,0,0
1169,1100.0,0,0,0
1170,5.0,0,0,0
1171,5.0,0,0,0
1172,5.0,0,0,0
1174,5.0,0,0,0
1177,5.0,0,0,0
1178,10.0,0,0,0
1179,210.0,0,0,0
1181,0.0,0,0,0
1182,0.0,0,0,0
1183,1100.0,0,0,0
1184,2000.0,0,0,0
1185,30.0,0,0,0
1186,1100.0,0,0,0
1187,5.0,0,0,0
1188,5.0,0,0,0
1189,1100.0,0,0,0
1190,10.0,0,0,0
1191,131.0,0,0,0
1192,15.0,0,0,0
1193,0.0,0,0,0
1195,0.0,0,0,0
1196,2000.0,0,0,0
1197,0.0,0,0,0
1198,1100.0,0,0,0
1199,2000.0,0,0,0
1200,1100.0,0,0,0
1201,100.0,0,0,0
1202,1100.0,0,0,0
1203,0.0,0,0,0
1204,131.0,0,0,0
1205,0.0,0,0,0
1206,0.0,0,0,0
1207,0.0,0,0,0
1208,600.0,0,0,0
1209,0.0,0,0,0
1210,1211.0,0,0,0
1211,0.0,0,0,0
1214,1100.0,0,0,0
1215,207.0,0,0,0
1221,100.0,0,0,0
1222,0.0,0,0,0
1233,97.0,0,0,0
1235,500000.0,0,0,1
1236,0.0,0,0,0
1237,97.0,0,0,0
1238,100.0,0,0,0
1239,100.0,0,0,0
1240,97.0,0,0,0
1242,100.0,0,0,0
1243,100.0,0,0,0
1244,100.0,0,0,0
1246,0.0,0,0,0
1247,0.0,0,0,0
1248,100.0,0,0,0
1249,0.0,0,0,0
1250,0.0,0,0,0
1251,0.0,0,0,0
1252,0.0,0,0,0
1253,0.0,0,0,0
1254,93.0,0,0,0
1255,0.0,0,0,0
1257,100.0,0,0,0
1258,0.0,0,0,0
1259,0.0,0,0,0
1261,0.0,0,0,0
1268,100.0,0,0,0
1269,89.0,0,0,0
1271,68.0,0,0,0
1273,28.0,0,0,0
1275,1100.0,0,0,0
1276,469.0,0,0,0
1278,100.0,0,0,0
1280,100.0,0,0,0
1281,100.0,0,0,0
1282,0.0,0,0,0
1283,0.0,0,0,0
1284,1302.0,0,0,0
1285,500.0,0,0,0
1286,1100.0,0,0,0
1287,0.0,0,0,0
1288,100.0,0,0,0
1289,25903.0,0,0,0
1290,1100.0,0,0,0
1291,100.0,0,0,0
1292,812.0,0,0,0
1293,10.0,0,0,0
1295,100.0,0,0,0
1303,0.0,0,0,0
1304,210.0,0,0,0
1305,20.0,0,0,0
1307,14.0,0,0,0
1308,5.0,0,0,0
1309,10.0,0,0,0
1310,1100.0,0,0,0
1312,105.0,0,0,0
1313,109.0,0,0,0
1314,109.0,0,0,0
1316,100.0,0,0,0
1341,100.0,0,0,0
1342,100.0,0,0,0
1343,100.0,0,0,0
1344,100.0,0,0,0
1345,0.0,0,0,0
1346,210.0,0,0,0
1347,100.0,0,0,0
1348,0.0,0,0,0
1350,100.0,0,0,0
1351,221.0,0,0,0
1352,0.0,0,0,0
1353,100.0,0,0,0
1354,100.0,0,0,0
1355,100.0,0,0,0
