id,catcher_id,credit_amount,wallet_amount,subscription_type,plan_type,is_unlimited,premium_storage,trial_account_type,billing_cycle_status
1,669,,0.0,0,0,0,0,,0
2,92,,34.0,0,0,0,0,0.0,0
3,898,,0.0,0,0,0,0,,0
4,912,,0.0,0,0,0,0,,0
5,92,,3.0,0,0,0,0,0.0,0
6,898,,0.0,0,0,0,0,,0
15,106,,0.0,0,0,0,0,,0
31,124,,0.0,0,0,0,0,,0
32,125,,0.0,0,0,0,0,,0
33,126,,0.0,0,0,0,0,,0
34,127,,0.0,0,0,0,0,,0
35,128,,0.0,0,0,0,0,,0
36,129,,0.0,0,0,0,0,,0
37,130,,0.0,0,0,0,0,,0
38,131,,0.0,0,0,0,0,,0
39,132,,0.0,0,0,0,0,,0
40,133,,0.0,0,0,0,0,,0
41,134,,0.0,0,0,0,0,,0
42,135,,0.0,0,0,0,0,,0
43,136,,0.0,0,0,0,0,,0
44,137,,0.0,0,0,0,0,,0
45,138,,0.0,0,0,0,0,,0
46,139,,0.0,0,0,0,0,,0
47,141,,0.0,0,0,0,0,,0
49,143,,0.0,0,0,0,0,,0
50,144,,0.0,0,0,0,0,,0
54,148,,0.0,0,0,0,0,,0
57,151,,11107.0,0,0,0,0,,0
65,159,,0.0,0,0,0,0,,0
106,252,,0.0,0,0,0,0,,0
107,256,,0.0,0,0,0,0,,0
108,260,,0.0,0,0,0,0,,0
109,262,,0.0,0,0,0,0,,0
110,263,,0.0,0,0,0,0,,0
111,264,,0.0,0,0,0,0,,0
112,265,,0.0,0,0,0,0,,0
113,266,,0.0,0,0,0,0,,0
114,267,,0.0,0,0,0,0,,0
115,268,,0.0,0,0,0,0,,0
116,269,,0.0,0,0,0,0,,0
117,270,,0.0,0,0,0,0,,0
118,271,,0.0,0,0,0,0,,0
119,272,,0.0,0,0,0,0,,0
120,273,,0.0,0,0,0,0,,0
121,274,,0.0,0,0,0,0,,0
122,275,,0.0,0,0,0,0,,0
123,276,,0.0,0,0,0,0,,0
124,277,,0.0,0,0,0,0,,0
125,278,,0.0,0,0,0,0,,0
126,279,,0.0,0,0,0,0,,0
127,280,,0.0,0,0,0,0,,0
128,281,,0.0,0,0,0,0,,0
129,282,,0.0,0,0,0,0,,0
130,283,,0.0,0,0,0,0,,0
131,284,,0.0,0,0,0,0,,0
132,286,,0.0,0,0,0,0,,0
133,288,,0.0,0,0,0,0,,0
134,294,,0.0,0,0,0,0,,0
135,297,,0.0,0,0,0,0,,0
136,298,,0.0,0,0,0,0,,0
137,299,,0.0,0,0,0,0,,0
138,303,,0.0,0,0,0,0,,0
139,307,,0.0,0,0,0,0,,0
140,308,,0.0,0,0,0,0,,0
