catcher_id,jobma_catcher_company,jobma_functional,jobma_catcher_indus,jobma_catcher_title,jobma_catcher_otype,jobma_catcher_status,jobma_catcher_creation,jobma_catcher_type,is_premium,jobma_verified,subscription_status,sub_user,per_sub_user,live_interview_credit,pre_recorded_credit,ai_live_interview_credit,interview_cost_type,referral_credit,company_size,ai_live_interview
270,Rajat kumar singh,Human Resources,BPO/KPO/ITES,0,,0,2014-06-21,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
271,dongil,Construction,Engineering,0,,0,2014-06-22,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
272,syntel,IT & Software Development,"Computer (Hardware, Software, & IT)",0,,1,2014-06-22,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
273,PARLE,Research,Research & Analysis,0,,0,2014-06-23,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
274,gov job,"Installation, Maintenance, & Repair",Electronics & Appliances,0,,0,2014-06-24,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
275,Asian paints ltd,Supply Chain,Department Store,0,,0,2014-06-24,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
276,3CIT ,IT & Software Development,IT-Software/Software Services,0,,0,2014-06-25,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
277,Angel Broking Pvt. Ltd.,Accounting & Finance,Business Services,0,,0,2014-06-26,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
278,Enter Company Name,Engineering,Clothing & Textile Manufacturing,0,,0,2014-06-27,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
279,"paint,petrol,chemical",Manufacturing,Manufacturing,0,,0,2014-07-01,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
280,high torque system private limited,Manufacturing,Manufacturing,0,,0,2014-07-01,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
281,pune,Biotech & Science,Biotechnology & Pharmaceuticals,0,,-1,2014-07-01,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
282,Enter Company Name,Creative & Design,"Computer (Hardware, Software, & IT)",0,,-1,2014-07-01,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
283, Serco Bpo,BPO/ITES,BPO/KPO/ITES,0,,1,2014-07-06,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
284,Flippa,Editorial & Writing,Printing & Publishing,0,,0,2014-07-09,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
286,Select Source International,Consulting,"IT Recruiting, Staffing, & Temporary Labor",0,,1,2014-07-10,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
288,Memorial Medical Center,Health Care & Medical,Medical & Health/Wellbeing Services,0,,1,2014-07-25,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
289,Select Source International,,,0,1,1,2016-11-01,0,0,1,1,0,100,1.0,1.0,1.0,1,0,1-25,0
294,Azul Systems,IT & Software Development,IT-Software/Software Services,0,,1,2014-08-21,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
296,Bio-Nucleonics Inc,Biotech & Science,Biotechnology & Pharmaceuticals,0,,1,2014-08-27,0,0,1,1,0,100,1.0,1.0,1.0,1,0,1-25,0
297,meco ind,Accounting & Finance,Accounting & Finance,0,,0,2014-09-03,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
298,Perimeter Healthcare Staffing,Health Care & Medical,Recruitment,0,,0,2014-09-03,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
299,Testing comp,IT & Software Development,IT-Software/Software Services,0,,1,2014-09-08,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
303,Conquerors Market,Accounting & Finance,Accounting & Finance,0,,0,2014-10-14,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
305,Demo Employer,IT Software- ERP / CRM,IT-Software/Software Services,0,,1,2014-10-18,0,0,1,1,0,100,1.0,1.0,1.0,1,0,1-25,0
307,Alpha Gamma Delta,Consulting,Non-Profit,0,,0,2014-10-21,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
308,Frank Company,Skilled Labor,Construction,0,,-1,2014-10-22,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
309,Innovate Solutions Group,Skilled Labor,Construction,0,,-1,2014-10-28,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
310,jnl pty ltd,Sales,Other,0,,-1,2014-11-14,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
313,IT Solution Provider,IT & Software Development,IT-Software/Software Services,0,,0,2014-12-29,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
314,IICT,IT & Software Development,"Computer (Hardware, Software, & IT)",0,,1,2015-01-03,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
315,InterCo,Professional Services,"Computer (Hardware, Software, & IT)",0,,0,2015-01-06,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
318,Antela Developments Limited,Real Estate,Real Estate & Property Management,0,,0,2015-01-07,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
319,Yahoo US,Accounting & Finance,Advertising & PR Services,0,Employer,0,2015-01-08,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
321,Gutter Force,Sales,Consumer Products,0,,1,2015-01-09,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
322,GTS,Accounting & Finance,Accounting & Finance,0,Employer,1,2015-01-13,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
326,"Selectek, Inc",Professional Services,Engineering,0,Employer,1,2015-03-05,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
327,Envision27 Recruitment Private Limited,Recruitment,Recruitment,0,Recruiting Firm,0,2015-03-06,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
328,DaddyBrand,Accounting & Finance,Internet,0,Employer,0,2015-03-09,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
329,DaddyJo,Accounting & Finance,"Computer (Hardware, Software, & IT)",0,Ad Agency,0,2015-03-09,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
330,http://www.dizercorp.com/,Recruitment,"IT Recruiting, Staffing, & Temporary Labor",0,,1,2015-03-12,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
331,cookie,Accounting & Finance,Accounting & Finance,0,,0,2015-03-24,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
333,InTravelGroup,Accounting & Finance,Accounting & Finance,0,,0,2015-03-27,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
335,Vivir Amoura,Accounting & Finance,Advertising & PR Services,0,Employer,0,2015-04-06,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
336,Engen Enterprises,Accounting & Finance,Accounting & Finance,0,Employer,0,2015-04-07,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
337,www.findingengineers.com,Engineering,Engineering,0,Recruiting Firm,0,2015-04-08,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
352,russwheeler.com,Accounting & Finance,Accounting & Finance,0,Employer,0,2015-05-02,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
353,"Peterborough Players, Inc.",Marketing & Media,Non-Profit,0,Employer,1,2015-05-13,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
355,Aroha Technologies Inc,Accounting & Finance,Accounting & Finance,0,Recruiting Firm,1,2015-05-18,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
356,HPT,Accounting & Finance,Accounting & Finance,0,Employer,0,2015-05-19,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
358,Select Source International,Consulting,"IT Recruiting, Staffing, & Temporary Labor",0,,1,2015-05-21,0,0,1,1,0,100,1.0,1.0,1.0,1,0,1-25,0
359,SolTech,IT & Software Development,"Computer (Hardware, Software, & IT)",0,Recruiting Firm,0,2015-05-22,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
360,TRADING OFHOSPITAL & HEALTH CARE EDUCATIONAL,Accounting & Finance,Accounting & Finance,0,Employer,0,2015-05-25,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
363,Cyprus home and garden,Business,Retail,0,Employer,1,2015-05-27,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
365,Select Source International,Other,Recruitment,0,1,1,2014-04-08,0,0,1,1,0,100,1.0,1.0,1.0,1,0,1-25,0
369,Select Source International,Other,Recruitment,0,1,1,2014-04-08,0,0,1,1,0,100,1.0,1.0,1.0,1,0,1-25,0
372,Bhim International,Accounting & Finance,Accounting & Finance,0,Employer,0,2015-06-04,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
373,AHM PSSPL,Accounting & Finance,Accounting & Finance,0,Recruiting Firm,0,2015-06-04,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
379,abubakar,Human Resources,Accounting & Finance,0,Recruiting Firm,0,2015-06-15,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
384,jobconnection,Accounting & Finance,Accounting & Finance,0,Recruiting Firm,1,2015-06-19,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
385,HMS,Accounting & Finance,Accounting & Finance,0,Employer,1,2015-06-22,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
387,Cobonak,Accounting & Finance,Accounting & Finance,0,Employer,1,2015-07-01,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
389,ogonyc,Retail,Clothing & Textile Manufacturing,0,Employer,1,2015-07-02,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
392,Acosta Tax & Advisory PA,Accounting & Finance,Accounting & Finance,0,Employer,0,2015-07-06,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
395,global roto sheka,IT & Software Development,Printing & Publishing,0,Employer,0,2015-07-09,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
396,instajobs,Accounting & Finance,Accounting & Finance,0,Employer,0,2015-07-12,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
404,Pinnacle Group,IT Application Programming / Maintenance,"IT Recruiting, Staffing, & Temporary Labor",0,Recruiting Firm,1,2015-07-17,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
407,Select Source International,Other,Recruitment,0,1,1,2014-04-08,0,0,1,1,0,100,1.0,1.0,1.0,1,0,1-25,0
